epoch,train_ce_loss,train_dice_et,train_dice_loss,train_dice_tc,train_dice_wt,train_epoch,train_loss,val_ce_loss,val_dice_et,val_dice_loss,val_dice_tc,val_dice_wt,val_epoch,val_iou_et,val_iou_tc,val_iou_wt,val_loss,val_mean_dice,val_mean_iou
1,1.4543456584215164,0.042743483871267196,0.982202548533678,0.05031284975222172,0.04671195830260059,1,2.4365482106804848,1.3517552635886452,0.056538034957102704,0.9827047868208452,0.0561422646830746,0.07724299583412776,1,0.030441246001698487,0.029789116857649255,0.04089360694156576,2.334460059079257,0.0633077651581017,0.033707989933637834
2,1.239141009747982,0.14767953825061478,0.9774273373186588,0.1392063770898153,0.15724275490630954,2,2.2165683433413506,1.1769918983632868,0.23585694363473864,0.9791035858067599,0.22718418892976544,0.17873092741402957,2,0.15693490753183068,0.1442600186038122,0.10202626998696178,2.156095504760742,0.21392401999284458,0.13440706537420155
3,1.0936011830344796,0.33793996318122843,0.974527545273304,0.2978551895728748,0.2970348176616877,3,2.068128729239106,1.0418008175763216,0.3652876401793551,0.9771596410057761,0.3330644577486261,0.3092997907564598,3,0.27195304331901704,0.23323140847005072,0.19582473886718252,2.018960467251864,0.33588396289481365,0.23366973021875012
4,0.9885423621162772,0.41335277688045147,0.9724653642624617,0.3709321496430227,0.4167741404468668,4,1.961007721722126,0.9707568948919123,0.41869715086704423,0.9759135397997769,0.38451617706316904,0.42743893133551225,4,0.3197690934853638,0.27889177338055277,0.29597261154991134,1.9466704260219228,0.4102174197552419,0.2982111594719426
5,0.9351854724809527,0.47723758201389593,0.9714648043736815,0.4437727971689615,0.5101105783540563,5,1.9066502843052149,0.9184938745065169,0.45928562051322513,0.9744757554747842,0.4223481264324577,0.49597570447807016,5,0.3553385305239038,0.3103084479603536,0.35757976543472403,1.8929696213115346,0.4592031504745844,0.34107558130632715
6,0.8862142767757177,0.5137953051214457,0.9696418642997742,0.48712127744966854,0.5761174780328715,6,1.8558561392128468,0.8701706290245056,0.49164032739953795,0.9731654990803111,0.46849729584533706,0.5533437777532093,6,0.3838275942117009,0.3525086531425757,0.41680689421536204,1.843336127021096,0.5044938003326948,0.3843810471898796
7,0.8368369555100799,0.5320907121435514,0.9681473411619663,0.5158162828130063,0.6631338760572646,7,1.804984301328659,0.8141966808925976,0.5008126231543824,0.9716683615337719,0.502472189381581,0.661525513915284,7,0.39142281084092656,0.3805373469499181,0.5363345815079982,1.7858650467612527,0.5549367754837491,0.43609824643294764
8,0.7788700209930539,0.5597253093995651,0.9662816449999809,0.5469847308061758,0.7189332817375481,8,1.7451516669243574,0.7530215220017866,0.5139969746094838,0.968906312639063,0.5045409330393871,0.6642232805684632,8,0.40522057798290434,0.3844130718497888,0.5366032670642098,1.7219278378920122,0.5609203960724448,0.4420789722989677
9,0.7198998555541039,0.5646628564301434,0.9635521275922656,0.5682298556531059,0.7379318918203924,9,1.683451984077692,0.6938822627067566,0.5418069604278409,0.9676393303004178,0.5425400983759768,0.7004134594499656,9,0.4264461886062554,0.4184404465019085,0.5760730596842041,1.6615215930071745,0.5949201727512611,0.473653231597456
10,0.6592186521738768,0.5766263666760286,0.9602412693202496,0.5877004109603312,0.7530940997921984,10,1.6194599140435457,0.6369792298837141,0.5508170425394463,0.9659655332565308,0.5801121618105664,0.7256089106324197,10,0.43630498414497465,0.459767235920371,0.6092526257009386,1.6029447598890825,0.6188460383274774,0.5017749485887614
11,0.6039625266566873,0.5859933054686737,0.9574810639023781,0.6086883873990537,0.7625785150153965,11,1.561443593353033,0.5845736839554526,0.5688851262203468,0.9606939413330772,0.5827290830871344,0.7417211562348172,11,0.4520542653619827,0.4595063578114802,0.6178185503022654,1.5452676252885298,0.6311117885140995,0.5097930578252426
12,0.552922978065908,0.5903293960925046,0.9537723222747445,0.6201451686220438,0.776541349591743,12,1.5066953022032976,0.5333576690066945,0.5518122162151475,0.9577462413094261,0.555248765491714,0.7339530776589985,12,0.4363315950223697,0.4313162699849073,0.6104624092884006,1.4911039265719328,0.6136713531219534,0.49270342476522583
13,0.5085973404347897,0.5982098158376553,0.9501755917444825,0.6344494207316563,0.7870852810213869,13,1.458772923797369,0.4907564163208008,0.5668982359262151,0.955823937329379,0.5746185297393641,0.7649439845499308,13,0.45110331562477846,0.4518877757273837,0.6430042871615474,1.4465803688222711,0.6354869167385034,0.5153317928379032
14,0.46652162354439497,0.5994670364965928,0.9466753331944346,0.6362985997937848,0.7996815197647593,14,1.4131969586014748,0.4485029865394939,0.5922257490988582,0.9511533704670992,0.6156249430247008,0.7518033880673055,14,0.4742434873826579,0.49093577302363584,0.6252639204333448,1.399656354297291,0.6532180267302882,0.5301477269465462
15,0.42641993006691337,0.6147828912566851,0.942478496581316,0.6410641957087894,0.8080446212731295,15,1.3688984215259552,0.4100855973633853,0.595158285984302,0.9484003413807262,0.6038955196698362,0.7861638200084213,15,0.4773443051933954,0.4773004152807235,0.6683079474987579,1.358485926281322,0.6617392085541866,0.5409842226576256
16,0.3879553833976388,0.6213761979991007,0.9375444808974862,0.6535481430488181,0.8182998155876204,16,1.3254998605698347,0.3718998838554729,0.5762779800311256,0.9437974160367792,0.574106327150432,0.7775375693005973,16,0.4641529520557832,0.4537580092708273,0.6549880061710629,1.3156973166899248,0.6426406254940517,0.5242996558325578
17,0.3527877479791641,0.6289857370998488,0.9328289870172739,0.6559300233970072,0.8256495539020181,17,1.2856167331337929,0.33902309862050145,0.6013402386803512,0.9405712777918035,0.6220041378085301,0.8178213658913445,17,0.4842387349438692,0.500182556136259,0.7094750429983094,1.2795943845402111,0.6803885807934087,0.5646321113594792
18,0.3220819402486086,0.6301031812578224,0.9271164778620005,0.6615370885800975,0.8297027250691299,18,1.249198418110609,0.30896880518306385,0.6063754920608173,0.9321973648938265,0.6323586286781174,0.7937661437489926,18,0.49043937842462537,0.5121817392936171,0.6755249225735003,1.2411661885001444,0.6775000881626424,0.5593820134305809
19,0.294939701911062,0.633095572879753,0.920678747817874,0.6736786165135669,0.8351079980346608,19,1.215618446469307,0.2824393705888228,0.6023479354754715,0.9304693720557473,0.6394187677053438,0.8311135716265804,19,0.48510184560592595,0.5197890181468807,0.7300589416599975,1.212908731807362,0.6909600916024653,0.5783166018042681
20,0.2715242188423872,0.62819396182071,0.9150532661005855,0.6717737612754022,0.8338723105947388,20,1.1865774802863598,0.260351667620919,0.6164952601138681,0.9238848046822982,0.6451306525398937,0.8204217316992987,20,0.499414315410571,0.5239991364823273,0.7143849360010366,1.1842364939776333,0.6940158814510201,0.5792661292979783
21,0.24992972379550338,0.6428799698533648,0.9086030758917332,0.6746862794467646,0.8421810111283276,21,1.1585328001528978,0.24012513052333484,0.6126482344053478,0.9165696252476085,0.6650456145720487,0.8359245295230968,21,0.49534004537048304,0.5457611744345205,0.7317068806199754,1.1566947568546642,0.7045394595001645,0.590936033474993
22,0.23075694567523897,0.6360130300244261,0.901973482221365,0.6916196338841498,0.8478245008392056,22,1.1327304281294346,0.22157646959478206,0.620705122738584,0.9101914741776206,0.6657070570676035,0.823671205744614,22,0.5037562552062235,0.5452636977119073,0.7159091649854307,1.1317679491910067,0.7033611285169338,0.5883097059678538
23,0.2130698619876057,0.6510928327832074,0.8943021483719349,0.6936297070332044,0.8461328279317366,23,1.1073720082640648,0.20532497086308218,0.6250894498139264,0.904271277514371,0.6653152598038854,0.8332522706558748,23,0.5088589966722233,0.546615284404925,0.7305573324285409,1.1095962459390813,0.7078856600912289,0.5953438711685631
24,0.19853848963975906,0.642798074802866,0.8880055900663137,0.6864127122302316,0.8453578331019104,24,1.0865440778434277,0.189568784291094,0.6307006978733956,0.8990468697114424,0.6833020795205539,0.839067889386573,24,0.5135367734410456,0.563701013181227,0.7378200259399801,1.0886156602339312,0.7176902222601741,0.6050192708540842
25,0.1825700339395553,0.6411147542153895,0.8803126392886043,0.7033805164525191,0.8533384099243473,25,1.0628826674073935,0.1737068780443885,0.6352258665883218,0.8909568960016424,0.6786423732297909,0.8385252072240525,25,0.5190144690111981,0.5606107832224282,0.7354701937144147,1.064663756977428,0.7174644823473884,0.6050318153160137
